review_id,issue,score,sentiment,product,evidence
796090552,"Low score, wholly positive text",1.0,,FOLD Long Edge Pull Handle - Brass,Love it
791382248,"Low score, wholly positive text",1.0,,BOBBIN Handle - Brass,Absolutely love Plant Hardware and my Bobbin Brass Set that I purchased for my new built ins!
761444418,"Low score, wholly positive text",1.0,,FRANKLIN Knurled Button Knob - Antique Brass,"They feel quality, lovely detail and the brass look fits perfectly in the room"
726501475,"Low score, wholly positive text",1.0,,BOBBIN Handle - Brass,The brass pulls are beautiful! Very well made. I will be ordering more for my new kitchen cabinets.
713792325,"Low score, wholly positive text",2.0,,KEPLER Knurled T-Bar Handle - Brass,"The handles arrived promptly and are beautiful. So happy with Plank, I will be buying from them again."
709075668,"Low score, wholly positive text",1.0,,KOJI Round Knob - Brass,Love the KNob and it just looks luxurious. Bobbin Pulls are so nice too!
709075662,"Low score, wholly positive text",1.0,,KOJI Round Knob - Brass,Love the KNob and it just looks luxurious. Bobbin Pulls are so nice too!
670128387,"Low score, wholly positive text",1.0,,MARIN Glass Pendant Light - Rust Red,Beautiful light fitting but will not hang straight - very frustrating.
